Name,Type,AI_Governance_Fit,Check_Size,Thesis,Portfolio,Relevant_Connections,Red_Flags,Recent_News,Sources,Outreach_Subject,Outreach_Body,Call_To_Action
8VC,vc,medium,"Varies; recent fund (Fund VI) likely supports $10M+ Series A/B, especially for high-conviction plays in AI/enterprise. Likely fits $20-30M rounds as lead or co-lead.","8VC is a venture capital firm focused on investing in forward-thinking companies, with a strong emphasis on AI, smart enterprise, and transformative technology. They seek to back entrepreneurs solving complex, high-impact problems, with a portfolio that includes AI/healthcare innovations and enterprise technology. Recent partnerships and commentary show an appetite for category-defining companies driving the next wave of American industrial and technological innovation.",Atomic AI; Hive,,,"Announced Fund VI in March 2025, signaling robust capital for new investments.; Formed major partnership with Apollo to accelerate American industrial innovation in late 2025, underscoring commitment to transformative tech.",https://www.8vc.com/companies; https://www.8vc.com/companies/atomic-ai; https://www.8vc.com/companies/hive; https://www.8vc.com/resources/announcing-8vc-fund-vi; https://ir.apollo.com/news-events/press-releases/detail/586/apollo-and-8vc-partner-to-accelerate-the-next-wave-of; https://www.8vc.com/resources/apollo-partnership,Runcible: The Governance Layer for AI – Series A Opportunity,"Hi 8VC Team,  I’m reaching out to share an opportunity we believe is both urgent and timely: Runcible, the Governance Layer for AI. As AI capabilities accelerate, there is growing demand—especially across finance, healthcare, government, and defense—for truth-constrained, auditable, and ethical AI that regulators and operators can trust.  Our team combines deep expertise from the Natural Law Institute with operational experience in highly-regulated environments. With a science-of-decidability approach, we’re uniquely positioned to deliver trustworthy AI for high-stakes, mission-critical domains.  Given the current regulatory and market inflection point, we’re raising a $20-30M Series A to scale platform adoption and deepen partnerships in strategic sectors. We would welcome a conversation on how 8VC’s experience and network could accelerate this effort and drive mutual value.  Thank you for your consideration.",Are you available next week for a brief call to explore a potential fit?
AMD Ventures,strategic,medium,"Not explicitly stated; typically participates in multi-million dollar rounds from Seed to late-stage (Classiq up-round, etc.)","AMD Ventures is the corporate venture capital arm of Advanced Micro Devices (AMD). Their thesis focuses on investing in pervasive AI, generative and agentic AI, next-generation data-center technologies, GPU/cloud infrastructure, silicon photonics, and emerging compute architectures, aiming to enhance AMD's market leadership in AI and high-performance computing ecosystems.",Hugging Face; ViVu; Fireworks; Chai Research; Classiq,"AMD Executive Team; Portfolio founders (e.g., Hugging Face, Classiq); Qualcomm Ventures, IonQ (co-investors)","No explicit focus on AI governance/ethics; mostly core infrastructure and platform investments; Fund team is small (only 2 professionals), may slow process",Nov 2025: Joined Classiq’s strategic up-round alongside Qualcomm Ventures and IonQ (quantum/AI for enterprise); July 2025: Participated in Chai Research Seed round (AI infrastructure/agentic AI),https://pitchbook.com/profiles/investor/58496-86; https://www.cbinsights.com/investor/amd-ventures; https://www.amd.com/en/ventures.html; https://inforcapital.com/companies/amd-ventures/; https://tracxn.com/d/corporate-investments/investments-by-amd/__fwyiOptL3Stsxv1-fiN0X0QBNAymC3ylFvabx6tLFRk; https://thequantuminsider.com/2025/11/13/ionq-amd-and-qualcomm-ventures-join-classiq-strategic-up-round/; https://quantumcomputingreport.com/classiq-secures-strategic-funding-from-amd-qualcomm-ventures-and-ionq/,"Unlocking Strategic Value: Partnership Opportunity with Runcible, the Governance Layer for AI","Dear AMD Ventures Team,  I'm reaching out to open a conversation around an exciting strategic partnership opportunity between AMD Ventures and Runcible. As AI rapidly reshapes high-stakes sectors like finance, healthcare, defense, and government, the need for accountability and trustworthiness has never been clearer.  Runcible is building 'The Governance Layer for AI'—delivering truth-constrained, auditable, and ethical AI powered by Natural Law Institute science. Our platform enables organizations operating at the frontiers of intelligence to meet the escalating demands for compliance, ethics, and transparency in automated decision-making.  We believe that combining Runcible’s governance innovation with AMD’s expertise in high-performance computing unlocks differentiated value for mission-critical industries. Together, we could drive new standards for safe, reliable AI at scale.  Runcible is currently raising $20–$30M to accelerate our impact. We’d welcome the chance to explore how a partnership could advance both our missions and create outsized value for our stakeholders.",Are you available for a brief conversation next week to discuss mutual opportunities for strategic partnership?
Accel,vc,high,"$5M-$100M+ (wide range, often $10-30M+ in growth/late-stage AI/enterprise deals)","Accel is a top-tier global venture capital firm backing technology-driven companies at Seed through Growth stages. Recent investments demonstrate a focus on AI infrastructure, enterprise security, and high-growth sectors. Accel is actively seeking opportunities in next-generation compute, enterprise AI, and disruptive technology.",AssemblyAI; AegisAI; Spinny,Steve Loughlin; Eric Wolford,,"Continued investment in AssemblyAI (AI, Series C, 2025); AI-native security investment in AegisAI (2025); Spinny to raise $165M as Accel doubles down (late 2025); Ranked among busiest investors Q2 2025 (Crunchbase)",https://www.accel.com/noteworthy/our-continued-investment-in-assemblyai; https://www.accel.com/noteworthies/ai-native-security-for-the-new-era-of-email-threats-our-investment-in-aegisai; https://news.crunchbase.com/venture/busiest-investors-q2-2025-accel-general-catalyst/; https://entrackr.com/exclusive/exclusive-spinny-to-raise-165-mn-as-accel-leaders-fund-doubles-down-10901744; https://www.accel.com/globalscape,Runcible: The Governance Layer for AI – Series A Opportunity,"Hi Accel Team,  I'm reaching out to share an opportunity at a critical inflection point for trustworthy AI. As generative and decision-making AI accelerate into high-stakes domains—including finance, healthcare, defense, and government—there’s a clear need for truth-constrained, explainable, and ethical systems.  At Runcible, we’re building 'The Governance Layer for AI,' grounded in the Natural Law Institute’s science of decidability. Our platform ensures auditable, defensible, and principled AI outcomes—addressing risks and compliance requirements as adoption surges industry-wide.  We’ve assembled a team with deep AI, regulatory, and enterprise experience, and our growth trajectory reflects increasing demand for trustworthy automation, driven by clear regulatory tailwinds and customer momentum. We’re currently raising a $20–$30M Series A to scale our impact with leading partners.  Would you be open to a conversation about joining us at this pivotal time? ",Please let me know if you’d be interested in an intro or to discuss how Runcible could drive strategic value as part of your portfolio.
Air Street Capital,vc,high,$500K–$5M+,"Air Street Capital is a venture fund focused on 'AI-first' startups building impactful, category-defining companies in AI/ML across industry. Their philosophy is to back world-class AI talent and provide value beyond capital, via specialized knowledge, networks, and their State of AI report. They emphasize depth in technical AI, research, and enterprise applications.",Unannounced Frontier evals (USA); Stability AI; Graphcore; Tractable; LabGenius; Feebris; Luminous; Encord,"Nathan Benaich (Founder, GP); Partnership team with NVIDIA; Community via State of AI Report",,Partners with NVIDIA on £2B investment to accelerate UK AI ecosystem (Sep 2025); Published 2024 year in review (Jan 2025); Released 8th annual 'State of AI Report' (2025),https://pitchbook.com/profiles/investor/266064-22; https://nathanbenaich.substack.com/p/air-street-capital-partners-with-nvidia-uk-ai; https://press.airstreet.com/p/2024-review; https://www.airstreet.com/portfolio; https://gg.linkedin.com/company/air-street-capital; https://www.youtube.com/watch?v=Ub-7bY4b3Hs,Runcible: The Governance Layer for AI – Series A Partnership Opportunity,"Hello Air Street Capital team,  I'm reaching out to share an early look at Runcible, where we're building the governance layer for AI: ensuring truth-constrained, auditable, and ethical AI infrastructure for high-stakes domains like finance, healthcare, defense, and government. As organizations accelerate AI adoption amid growing regulatory and societal scrutiny, we believe the market is reaching a crucial inflection point—making trusted AI oversight not just valuable, but indispensable.  Runcible is founded by a deeply technical team rooted in the Natural Law Institute's science of decidability. In the past year, we've established strong early traction and validated meaningful demand across regulated sectors. We're now raising a $20-30M Series A to scale into these markets.  If this aligns with Air Street Capital’s focus on transformative AI platforms, I’d welcome the chance to discuss how we could partner for durable category leadership.  Thank you for your consideration.",Are you available for a 30-minute call next week to discuss Runcible and our market vision?
"Amazon (Alexa Fund, Industrial Innovation Fund, AWS/Strategic)",strategic,medium,"Alexa Fund: up to $200M per fund, and recent single-round investments from low millions to $20M+; overall checks vary by division (see below).","Amazon invests in AI startups and infrastructure development through funds like the Alexa Fund (focus on AI, voice, and enterprise), Industrial Innovation Fund (industrial/automation tech), and AWS for cloud/AI platforms. Their thesis is to strategically back technologies that enhance their ecosystem and market leadership, with a heavy current focus on AI.","Various Alexa Fund portfolio AI startups (see TechCrunch, Crunchbase); Industrial Innovation Fund portfolio (automation/enterprise/AI); Amazon Nova (internal GenAI foundation model, AWS customers)","Alexa Fund team (Amazon's venture arm); AWS Strategic Initiatives, AI/ML management; Industrial Innovation Fund leadership; Potential board seat or strategic partnership via AWS/enterprise sales",Strategic interests may prioritize commercial/tech enablement over governance/ethics specifically.; Amazon's scale and bureaucracy may slow decision processes or influence startup independence.; Potential for overlap with Amazon's own GenAI/internal initiatives.,"Alexa Fund now prioritizes AI startups as AI becomes more strategically relevant. (Fortune, April 2025); Alexa Fund invests in four new AI startups, increasing pace of AI investment. (TechCrunch, March 2025); Amazon to invest up to $50B to expand AI/supercomputing infra for US government (Amazon News, Nov 2025); Amazon pledges $35B for AI in India through 2030 (CNBC, Dec 2025)",https://fortune.com/2025/04/04/amazon-venture-arm-alexa-fund-focusing-on-ai-startups; https://techcrunch.com/2025/03/26/amazon-alexa-fund-invests-into-four-new-startups-as-it-plans-to-invest-more-into-ai-solutions/; https://www.crunchbase.com/organization/amazon-alexa-fund; https://industrialinnovationfund.amazon/portfolio-companies; https://aws.amazon.com/nova/; https://www.aboutamazon.com/news/company-news/amazon-ai-investment-us-federal-agencies; https://www.cnbc.com/2025/12/10/amazon-pledges-35-billion-investments-in-indias-ai-space-through-2030-million-jobs.html,Exploring a Strategic Partnership: Ethical and Auditable AI Governance for Amazon,"Hello Amazon Team,  In a world where the deployment of AI in sensitive sectors—finance, healthcare, defense, and government—demands utmost trust and accountability, Runcible has pioneered the solution: truth-constrained, auditable, and ethical AI. Our governance platform, built on the Natural Law Institute’s science of decidability, offers the assurance critical to high-stakes applications.  We believe there is significant potential for Amazon and Runcible to create mutual value by jointly advancing responsible AI practices. By aligning our technologies and expertise, we can set new standards for ethical AI governance across industries, mitigating risk while unlocking new market opportunities for both organizations.  We are currently raising $20–30M to scale and keen to explore how a partnership could accelerate shared goals. ",Are you available for a brief conversation next week to explore potential collaboration?
American Express Ventures,strategic,medium,$3M-$20M (typical range for U.S. CVCs; exact figure not publicized),"Amex Ventures is the corporate venture capital arm of American Express, investing strategically to advance Amex's capabilities. Their thesis focuses on supporting category-defining companies in Fintech, Consumer, Enterprise Tech, Commerce, and Frontier Tech, with an emphasis on digital transformation and AI innovation. They look for startups that can create tangible value for both Amex and the broader financial ecosystem.",Boom Supersonic; Bill.com; Trulioo; Parafin; Plaid; Stripe; SentinelOne; Marqeta,Kevin Weber (Managing Director at Amex Ventures); Other portfolio founders in fintech or enterprise AI,,Amex Ventures continues strategic investments in enterprise/AI companies and expresses optimism about innovation in uncertain times.; Featured in discussions around support for generative AI innovation and investment trends in the sector (May/June 2025).; Kevin Weber (Managing Director) has recently discussed the evolving landscape and Amex Ventures' focus in AI and enterprise sectors on podcasts and articles.,https://www.americanexpress.com/us/business/american-express-ventures/articles/a-message-from-amex-ventures/; https://pitchbook.com/profiles/investor/64452-61; https://www.cbinsights.com/investor/american-express-ventures; https://www.americanexpress.com/en-us/business/american-express-ventures/articles/how-american-express-ventures-is-supporting-generative-ai-innova/; https://finstratmgmt.com/podcast/corporate-venture-capital-amex/,Exploring Strategic Partnership: Runcible—The Governance Layer for AI,"Dear American Express Ventures Team,  I’m reaching out to introduce Runcible, a venture building the governance layer for AI: truth-constrained, auditable, and ethical intelligence for high-stakes industries like finance, healthcare, government, and defense. As organizations leverage AI for critical decisions, ensuring that these systems remain transparent and ethical is mission-critical.  Runcible is grounded in the science of decidability from the Natural Law Institute and addresses the challenge of safely deploying AI in regulated, high-stakes environments—areas where American Express has a deep commitment and vested interest. We believe a strategic partnership can unlock significant value: together, we can set new standards for AI governance and drive adoption across the financial ecosystem and beyond.  We are currently raising a $20-30M round to accelerate our mission and would welcome a conversation to explore how we might collaborate for mutual benefit.",Would you be open to a brief call to discuss a potential partnership and joint opportunity?
Andreessen Horowitz,vc,medium,"$10M–$100M+ (Series A–growth), commonly $20–30M in recent AI deals","Andreessen Horowitz (a16z) is a leading Silicon Valley venture fund with a focus on transformational technologies including AI, machine learning, infrastructure, fintech, enterprise, and healthcare. They back ambitious projects in areas with massive market potential, and actively lead investments in the AI space, emphasizing both groundbreaking models and enabling platforms.",Pryzm Dynamics (federal AI procurement); Unconventional AI (probabilistic AI chips),,Not traditionally focused primarily on AI governance/safety; more interested in disruptive AI and core infrastructure.; Highly competitive process; may push for aggressive growth.,Led $12M round in Pryzm Dynamics to transform federal AI procurement (Dec 2025); Participated in $475M mega-seed for Unconventional AI for next-gen AI chips (Dec 2025); Ongoing high-frequency investing in frontier AI and enterprise SaaS (per 2025 AI portfolio tracker),https://www.prnewswire.com/news-releases/pryzm-raises-12m-led-by-andreessen-horowitz-to-transform-federal-procurement-with-ai-302636007.html; https://pulse2.com/unconventional-ai-475-million-at-4-5-billion-valuation/; https://www.feedtheai.com/a16zs-ai-startups-portfolio/; https://a16z.com/portfolio/,Unlocking Trustworthy AI Governance—Series A Opportunity with Runcible,"Hi Andreessen Horowitz team,  I'm reaching out to share an opportunity at a critical inflection point for AI governance. Runcible is building 'The Governance Layer for AI,' enabling truth-constrained, auditable, and ethical AI for high-stakes sectors—finance, healthcare, defense, and government. As regulatory and market pressure for responsible AI surges, Runcible’s science-backed approach (rooted in Natural Law Institute decidability research) uniquely positions us to serve foundational trust and compliance needs.  Our team blends deep domain expertise and technical rigor, and we’re already seeing strong early traction from partners demanding provable, accountable AI solutions. With market timing at a premium, we are opening our $20-30M Series A to a select set of partners who recognize the scale and urgency of this problem.  Would you be open to a conversation to discuss how Runcible can drive mutual value as your next flagship AI investment?","Please let me know if you have 20 minutes for an introductory call in the coming days, or if someone else on your team would be best for a first conversation."
Aon Ventures,strategic,medium,"Not clearly stated. Aon Advantage Funds seeks growth-stage investments typically in the $10M-$50M deal size range, which matches your $20-30M target.","Aon, as a leading global professional services firm with deep expertise in insurance, risk transfer, and investments, channels capital into growth-stage companies possessing differentiated intellectual property and sustainable competitive advantage—especially those enhancing risk management, compliance, and advanced analytics infrastructure. Their investment vehicles (Aon Advantage Funds, Aon Investments) aim to provide minimally dilutive capital, often with a strategic/corporate partnership angle. They show interest in tech aligning with enterprise resilience, compliance, and risk (e.g., AI in insurance, climate risk, capital markets).","Growth-stage companies with strong IP, especially in insurance tech, risk analytics, alternative capital markets, and climate finance","Aon’s alternative asset teams (Aon Advantage Funds, Aon Investments);; Enterprise partnerships—Aon has broad relationships across insurance, finance, government clients (potential warm paths may exist via those verticals).","No official, clearly branded 'Aon Ventures' entity widely recognized in recent public sources—may require clarification on internal mandate/fund structure.; Aon's core business and funds focus more on risk/insurance/capital than pure AI/enterprise SaaS; strategic/tech fit would hinge on Runcible's application to insurance, compliance, or high-stakes risk use cases.",Launched Claims Copilot leveraging advanced tech for client advocacy (2025) – reflects digital/AI-enabled insurance services ([5]); Aon Advantage Funds: ongoing deployment into growth-stage alt assets ([8]); Aon and Irish Life: €500M climate transition fund commit ([7]); Aon Securities: $121bn alternative capital market activity report ([3]),https://tracxn.com/d/venture-capital/aon-investment/__C8vXBWikKSbMPwJAM9ADhz1Pqg1GMFDVIcgCkPtWdU8; https://www.aon.com/en/capabilities/investments; https://www.aon.com/en/capabilities/risk-transfer/aon-advantage-funds; https://aon.mediaroom.com/2025-11-11-Aon-Launches-Claims-Copilot-Bringing-Together-Expert-Advocacy-and-Advanced-Technology-for-better-client-outcomes; https://www.aon.com/ireland/media-releases/aon-and-irish-life-put-pension-cash-into-climate; https://www.aon.com/getmedia/5e8c46fa-6319-4799-9356-55d37ad6c749/Aon-Securities-2025-Annual-Report.pdf,Exploring a Strategic Partnership: Runcible & Aon Ventures,"Dear Aon Ventures Team,  I’m reaching out to introduce Runcible, the governance layer for AI, purpose-built for integrity and accountability in sectors where trust is non-negotiable—finance, healthcare, defense, and government. Today, organizations face a fundamental challenge: ensuring AI decisions are truth-constrained and auditable in high-stakes environments.  Runcible’s approach, grounded in the Natural Law Institute’s science of decidability, addresses this head-on, providing a provably ethical and transparent AI layer. We believe there is powerful mutual value in joining forces—combining your strategic reach and sector insights with our breakthrough in AI governance. Together, we can shape the future standards for responsible AI adoption and unlock new market opportunities.  We are currently raising $20–30M and seeking partners who share our vision for trustworthy AI where it matters most. Would you be open to a conversation about a potential strategic partnership?",Are you available for a brief introductory call next week to discuss mutual interests and partnership opportunities?
Atlassian Ventures,strategic,medium,"$250k–$5M (estimated, primarily seed and Series A; may vary for strategic investments)","Atlassian Ventures is the venture capital arm of Atlassian, launched in 2020 and headquartered in Sydney, Australia. They invest in early-stage companies building products and solutions that enhance or extend the Atlassian ecosystem, aiming to foster innovation that benefits Atlassian's large global customer base with a focus on collaboration, enterprise SaaS, AI, and information management. There is particular interest in companies that increase adoption and value of Atlassian's core offerings.",Opus Guard; LaunchNotes; Spinach.io; AppForAI; Secoda,,Focus is on companies closely aligned to Atlassian’s ecosystem—may not prioritize standalone AI governance or ethical AI platforms without direct Atlassian integration potential.,"Invested in Opus Guard, a SaaS company specializing in information governance and retention management (Nov 2024); Atlassian acquired Secoda, a data cataloging/AI company, integrating with Rovo AI (Dec 2025); Blog spotlights investments in AI-powered marketplace apps (Oct 2023)",https://www.thesaasnews.com/news/opus-guard-secures-funding-round; https://www.atlassian.com/blog/developer/how-three-atlassian-venture-companies-built-ai-apps-for-the-atlassian-marketplace; https://www.itpro.com/business/acquisition/atlassian-snaps-up-data-cataloging-startup-secoda; https://www.cbinsights.com/investor/atlassian-ventures; https://www.crunchbase.com/organization/atlassian-ventures,Exploring a Strategic Partnership: Runcible x Atlassian Ventures,"Hello Atlassian Ventures team,  I'm reaching out to introduce Runcible, the governance layer for AI. Today’s rapid adoption of AI in high-stakes fields—finance, healthcare, defense, and government—creates unprecedented risk around truth, auditability, and ethical outcomes. We address this by enabling AI systems to be both truth-constrained and auditable, built on the Natural Law Institute's breakthroughs in decidability science.  As Atlassian powers collaboration and mission-critical workflows across industries, we believe there is an exciting opportunity for us to create lasting value together. A strategic partnership could accelerate safer, more ethical AI deployment across your ecosystem while supporting your broader goals of trust and impact.  We are currently raising a $20-30M round; I would welcome the chance to explore how Runcible and Atlassian Ventures could collaborate for mutual benefit. ",Would you be open to a conversation next week to discuss potential partnership opportunities?
Balaji Srinivasan,angel,medium,"Varies; typical angel investments historically range from $25k to $1M+. Balaji may syndicate or participate in larger rounds, especially in crypto web3/scaling rounds.","Balaji Srinivasan is a prolific Silicon Valley angel investor and entrepreneur, with a focus on high-tech, crypto/web3, AR/VR, genomics, and frontier technology companies. He has a strong track record in disruptive technologies and is particularly interested in sectors that blend technology, privacy, governance, and decentralized systems. His investments span the United States, India, and globally. He's known for supporting emerging, 'truth-constrained' and auditable innovations, especially where privacy and ethics intersect with technology.",Coin Center; Namebase; StarkWare; Earn; Counsyl; Teleport,"Andreessen Horowitz (a16z); Coinbase (ex-CTO); Silicon Valley founder network; StarkWare; Earn, Counsyl, Teleport teams","Main investment focus is crypto/web3 and privacy tech, not AI or enterprise SaaS.; Some portfolio companies may have regulatory or risk issues around crypto/finance.; Preference for highly disruptive, sometimes unorthodox bets.","Launched a new tech fund focused on crypto/web3, AR/VR, and genomics with public participation (2023, The Money Game).; Remains an active angel, board member, and tech commentator.",https://pitchbook.com/profiles/investor/226912-78; https://tracxn.com/d/people/balaji-srinivasan/__ubKup8fdKovKyj_0LRNSMOLIu4OU-1kcjMhQHDzl2zM; https://www.themoney.game/stories/silicon-valley-veteran-balaji-srinivasan-opens-investment-to-public-in-new-tech-fund?74d8dd67_page=28&e0e6a714_page=37; https://signal.nfx.com/investors/balaji-srinivasan,Introducing Runcible: The Governance Layer for AI,"Hi Balaji,  I’m reaching out because we’re tackling a problem you’ve spoken about often: trustworthy governance for AI systems. As AI takes on higher-stakes roles in finance, healthcare, defense, and government, ensuring its behavior remains ethical and auditable has become mission-critical.  At Runcible, we’re building 'The Governance Layer for AI'—a truth-constrained, ethical, and auditable foundation for advanced AI, driven by the science of decidability from the Natural Law Institute. We believe this is a unique opportunity to set foundational principles for the field before it's too late.  We’re currently assembling a group of conviction-driven early backers to help us bring this auditable AI governance layer to market, and your perspective and values are uniquely aligned. ",Would you be open to a brief call to discuss how you could help shape this crucial layer for AI and evaluate if this fits your thesis?
