Name,Type,AI Governance Fit,Check Size,Subject Line
"Microsoft","strategic","high","$5M–$20M+ (recent annual allocation: $275M to fund, individual rounds vary)","Exploring Strategic Partnership: Runcible x Microsoft for Responsible AI Governance"
"Amazon","strategic","medium","Alexa Fund: up to $200M per fund, and recent single-round investments from low millions to $20M+; overall checks vary by division (see below).","Exploring a Strategic Partnership: Ethical and Auditable AI Governance for Amazon"
"Sequoia Capital","vc","medium","$10M–$100M+ (typically $20M–$30M+ for growth and Series B/C AI/enterprise deals)","Series A Opportunity: Enabling Trustworthy AI Governance at Runcible"
"Andreessen Horowitz","vc","medium","$10M–$100M+ (Series A–growth), commonly $20–30M in recent AI deals","Unlocking Trustworthy AI Governance—Series A Opportunity with Runcible"
"Insight Partners","vc","medium","$10M–$200M+; regularly leads or co-leads $20-30M growth rounds","Introducing Runcible: Enabling Trustworthy AI for Critical Sectors"
"Accel","vc","high","$5M-$100M+ (wide range, often $10-30M+ in growth/late-stage AI/enterprise deals)","Runcible: The Governance Layer for AI – Series A Opportunity"
"Greylock Partners","vc","high","$10M–$50M (typical), $20-30M is in-scope for growth/Series B+","Runcible: The Governance Layer for AI – Series A Opportunity"
"Kleiner Perkins","vc","medium","$10M-$100M+ (recent AI checks: $8M, $30M, $100M; likely comfortable leading Series A-D in $20-30M range)","Series A Introduction: Runcible—The Governance Layer for AI"
"Thrive Capital","vc","medium","$10M-$200M+ (ranging from early-stage to late-stage, with flexibility; current fund size supports $20-30M checks)","Introducing Runcible: The Governance Layer for High-Stakes AI"
"Lightspeed Venture Partners","vc","high","$10M to $100M+ (growth/late); smaller checks likely possible at earlier stage","Runcible: The Governance Layer for AI — Series A Opportunity"
"Bessemer Venture Partners","vc","high","$10M–$50M+ (Series A–C, with some growth investments above this range); recent AI deals led at $20M–$70M","Series A Opportunity: Runcible, The Governance Layer for AI"
"Benchmark","vc","medium","$10M–$30M+ (typical Series A/B, but can vary)","Series A Opportunity: Runcible – The Governance Layer for AI"
"Founders Fund","vc","medium","$10M-$100M+ (multi-stage, sometimes lead; known for very large checks in select cases)","Transforming AI Governance: Series A Opportunity with Runcible"
"New Enterprise Associates","vc","medium","$10M–$100M+ (stage-agnostic, $20-30M round typical for Series B/C; fund $3.3B as of 2025)","Introducing Runcible: The Governance Layer for AI — Series A Opportunity"
"Menlo Ventures","vc","medium","$10-$50M+ in growth and late-stage; $1-$20M in early stage (based on fund size and portfolio comp)","Runcible: Series A Opportunity – Transforming Trust in High-Stakes AI"
"GGV Capital","vc","medium","$5M - $30M+","Introducing Runcible: The Governance Layer for Ethical AI – Series A Opportunity"
"Costanoa Ventures","vc","medium","$500,000 to $10,000,000, primarily at Series A","Series A Opportunity: Runcible—The Governance Layer for AI"
"Coatue Management","vc","medium","$10M–$100M+, depending on stage and opportunity","Series A: Auditable AI Governance Layer for High-Stakes Sectors"
"Lux Capital","vc","medium","$10M–$100M+ (recent fund: $1.15B; often leads or co-leads large Series A–C rounds)","Unlocking Trustworthy AI: Runcible Series A Partnership Opportunity"
"8VC","vc","medium","Varies; recent fund (Fund VI) likely supports $10M+ Series A/B, especially for high-conviction plays in AI/enterprise. Likely fits $20-30M rounds as lead or co-lead.","Runcible: The Governance Layer for AI – Series A Opportunity"
"Shield Capital","vc","medium","Not explicitly disclosed. As an early-stage venture firm with >50 investments, likely seed to Series B, est. $1M–$10M typical initial checks.","Series A Opportunity: Runcible, The Governance Layer for AI"
"Red Cell Partners","vc","medium","Est. $5M–$20M+ (e.g., DEFCON AI, Crux rounds); flexible for high-potential companies.","Introducing Runcible: The Governance Layer for AI – Series A Opportunity"
"New North Ventures","vc","high","Low to mid 7 figures (e.g., $1-5M typical), $4.14M Series A recently led","Runcible: The Governance Layer for AI – Series A Opportunity with New North Ventures"
